objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,filename,image_small,image_thumb,image_alt_text,object_transcript
coll001,Ash,Katie Bowman,2024,"Photo of a tabby cat, named Ash, on a purple blanket. A hand seems to be petting or holding the cat.",Cats,"Archdale, NC",,,,,Image;StillImage,image/jpg,eng,,,image,ash2.jpg,,,,
coll002,Bandit,Katie Bowman,2026,"Photo of a medium-haired, tuxedo cat, named Bandit, on a porch railing. There is a sunset happening behind him.",Cats,"Archdale, NC",,,,,Image;StillImage,image/jpg,eng,,,image,bandit1.jpg,,,,
coll003,Changa,Katie Bowman,2025,"Photo of a small, brown bunny, named Changa, grazing grass as she spends time in an outdoor enclosure. She has a yellow dandelion on her head.",Rabbits,"Archdale, NC",,,,,Image;StillImage,image/jpg,eng,,,image,changa1.jpg,,,,
coll004,Changa and Ember,Katie Bowman,2026,"Changa, a small brown bunny, sniffs Ember, a tuxedo cat, on a living room bench.",Cats; Rabbits,"Archdale, NC",,,,,Image;StillImage,image/jpg,eng,,,image,changaandember.jpg,,,,
coll005,"Chimi, in Memoriam",Katie Bowman,2025,"Chimi, a small white bunny, is enjoying time outside in an outdoor enclosure. She has a dandelion on her head and a harness with wings on her back. The photo is included in memoriam as Chimi passed in August of 2025.",Rabbits,"Archdale, NC",,,,,Image;StillImage,image/jpg,eng,,,image,chimi.jpg,,,,
coll006,Ember,Katie Bowman,2025,"Ember, a tuxedo cat, is on a porch railing with greenery in the background. Her long whiskers are on display.",Cats,"Archdale, NC",,,,,Image;StillImage,image/jpg,eng,,,image,ember1.jpg,,,,
coll007,Remi and Ember,Katie Bowman,2026,"Ember, the tuxedo cat on the left, and Remi, the golden retriever on the right, sniff noses in greeting. ",Cats; Dogs,"Archdale, NC",,,,,Image;StillImage,image/jpg,eng,,,image,remiandember.jpg,,,,
coll008,Remi,Katie Bowman,2026,Golden retriever Remi enjoys a snowstorm in January 2026.,Dogs,"Archdale, NC",,,,,Image;StillImage,image/jpg,,,,image,remisnow.jpg,,,,
coll009,Smokey,Katie Bowman,2025,"Smokey, a black cat, looks down in judgment from her place on a cat tree. ",Cats,"Archdale, NC",,,,,Image;StillImage,image/jpg,,,,image,smokey1.jpg,,,,
coll010,"Ember, Smokey, and Ash",Katie Bowman,2026,"From right to left, Ember, Smokey, and Ash all enjoy time on the cat wall - a wall covered in cat furniture.",Cats,"Archdale, NC",,,,,,image/jpg,,,,image,wallcats2.jpg,,,,
coll011,"Smokey, Ash, and Bandit",Katie Bowman,2026,"From top to bottom, Smokey, Ash, and Bandit all enjoy time on the cat wall - a wall covered in cat furniture.",Cats,"Archdale, NC",,,,,,image/jpg,,,,image,wallcats1.jpg,,,,
